 
Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
2021-01-13,10:30 PM,St. Louis Blues,4,Colorado Avalanche,1,,,2:24,
2021-01-13,10:00 PM,Vancouver Canucks,5,Edmonton Oilers,3,,,2:24,
2021-01-13,5:30 PM,Pittsburgh Penguins,3,Philadelphia Flyers,6,,,2:21,
2021-01-13,8:00 PM,Chicago Blackhawks,1,Tampa Bay Lightning,5,,,2:26,
2021-01-13,7:00 PM,Montreal Canadiens,4,Toronto Maple Leafs,5,OT,,2:38,
2021-01-14,9:00 PM,San Jose Sharks,4,Arizona Coyotes,3,SO,2274,2:37,
2021-01-14,7:00 PM,Washington Capitals,6,Buffalo Sabres,4,,,2:23,
2021-01-14,7:30 PM,Carolina Hurricanes,3,Detroit Red Wings,0,,,2:25,
2021-01-14,9:00 PM,Vancouver Canucks,2,Edmonton Oilers,5,,,2:30,
2021-01-14,10:00 PM,Minnesota Wild,4,Los Angeles Kings,3,OT,,2:37,
2021-01-14,7:00 PM,Boston Bruins,3,New Jersey Devils,2,SO,,2:43,
2021-01-14,8:00 PM,Columbus Blue Jackets,1,Nashville Predators,3,,,2:29,
2021-01-14,7:00 PM,New York Islanders,4,New York Rangers,0,,,2:30,
2021-01-14,10:00 PM,Anaheim Ducks,2,Vegas Golden Knights,5,,,2:24,
2021-01-14,8:00 PM,Calgary Flames,3,Winnipeg Jets,4,OT,,2:26,
2021-01-15,7:00 PM,Washington Capitals,2,Buffalo Sabres,1,,,2:17,
2021-01-15,9:00 PM,St. Louis Blues,0,Colorado Avalanche,8,,,2:31,
2021-01-15,7:00 PM,Toronto Maple Leafs,3,Ottawa Senators,5,,,2:28,
2021-01-15,7:00 PM,Pittsburgh Penguins,2,Philadelphia Flyers,5,,,2:23,
2021-01-15,7:00 PM,Chicago Blackhawks,2,Tampa Bay Lightning,5,,,2:23,
2021-01-16,4:00 PM,San Jose Sharks,3,Arizona Coyotes,5,,2384,2:22,
2021-01-16,10:00 PM,Vancouver Canucks,0,Calgary Flames,3,,,2:24,
2021-01-16,7:00 PM,Carolina Hurricanes,2,Detroit Red Wings,4,,,2:28,
2021-01-16,7:00 PM,Montreal Canadiens,5,Edmonton Oilers,1,,,2:20,
2021-01-16,9:00 PM,Minnesota Wild,4,Los Angeles Kings,3,OT,,2:42,
2021-01-16,1:00 PM,Boston Bruins,1,New Jersey Devils,2,OT,,2:34,
2021-01-16,8:00 PM,Columbus Blue Jackets,2,Nashville Predators,5,,,2:28,
2021-01-16,7:00 PM,New York Islanders,0,New York Rangers,5,,,2:41,
2021-01-16,7:00 PM,Toronto Maple Leafs,3,Ottawa Senators,2,,,2:23,
2021-01-16,10:00 PM,Anaheim Ducks,1,Vegas Golden Knights,2,OT,,2:18,
2021-01-17,7:00 PM,Chicago Blackhawks,2,Florida Panthers,5,,4147,2:27,
2021-01-17,12:00 PM,Washington Capitals,3,Pittsburgh Penguins,4,SO,,2:40,
2021-01-18,9:00 PM,Minnesota Wild,0,Anaheim Ducks,1,,,2:28,
2021-01-18,9:00 PM,Vancouver Canucks,2,Calgary Flames,5,,,2:21,
2021-01-18,12:00 PM,Columbus Blue Jackets,3,Detroit Red Wings,2,,,2:37,
2021-01-18,9:00 PM,Montreal Canadiens,3,Edmonton Oilers,1,,,2:26,
2021-01-18,8:00 PM,Carolina Hurricanes,4,Nashville Predators,2,,,2:22,
2021-01-18,5:00 PM,Boston Bruins,0,New York Islanders,1,,,2:26,
2021-01-18,7:30 PM,Buffalo Sabres,6,Philadelphia Flyers,1,,,2:26,
2021-01-18,8:00 PM,San Jose Sharks,4,St. Louis Blues,5,,,2:32,
2021-01-18,7:00 PM,Winnipeg Jets,1,Toronto Maple Leafs,3,,,2:20,
2021-01-18,10:00 PM,Arizona Coyotes,2,Vegas Golden Knights,4,,,2:33,
2021-01-19,7:30 PM,Columbus Blue Jackets,2,Detroit Red Wings,3,OT,,2:21,
2021-01-19,7:00 PM,Chicago Blackhawks,4,Florida Panthers,5,OT,3667,2:34,
2021-01-19,10:00 PM,Colorado Avalanche,3,Los Angeles Kings,2,,,2:27,
2021-01-19,7:00 PM,New Jersey Devils,4,New York Rangers,3,,,2:30,
2021-01-19,7:00 PM,Winnipeg Jets,4,Ottawa Senators,3,OT,,2:29,
2021-01-19,7:00 PM,Buffalo Sabres,0,Philadelphia Flyers,3,,,2:29,
2021-01-19,7:00 PM,Washington Capitals,4,Pittsburgh Penguins,5,OT,,2:34,
2021-01-20,9:30 PM,Minnesota Wild,3,Anaheim Ducks,2,,,2:33,
2021-01-20,9:00 PM,San Jose Sharks,2,St. Louis Blues,1,SO,,2:36,
2021-01-20,7:00 PM,Edmonton Oilers,3,Toronto Maple Leafs,1,,,2:17,
2021-01-20,10:00 PM,Montreal Canadiens,5,Vancouver Canucks,6,SO,,2:31,
2021-01-20,10:00 PM,Arizona Coyotes,2,Vegas Golden Knights,5,,,2:24,
2021-01-21,7:00 PM,Philadelphia Flyers,4,Boston Bruins,5,SO,,2:46,
2021-01-21,7:00 PM,Tampa Bay Lightning,3,Columbus Blue Jackets,2,OT,,2:29,
2021-01-21,10:00 PM,Colorado Avalanche,2,Los Angeles Kings,4,,,2:25,
2021-01-21,7:00 PM,New Jersey Devils,1,New York Islanders,4,,,2:25,
2021-01-21,7:00 PM,Winnipeg Jets,4,Ottawa Senators,1,,,2:25,
2021-01-21,9:30 PM,Montreal Canadiens,7,Vancouver Canucks,3,,,2:31,
