Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2015-10-07,10:00 PM,Vancouver Canucks,5,Calgary Flames,1,,Vancouver Canucks,Calgary Flames,0.0,0.0
2015-10-07,8:00 PM,New York Rangers,3,Chicago Blackhawks,2,,New York Rangers,Chicago Blackhawks,0.0,0.0
2015-10-07,10:30 PM,San Jose Sharks,5,Los Angeles Kings,1,,San Jose Sharks,Los Angeles Kings,0.0,0.0
2015-10-07,7:00 PM,Montreal Canadiens,3,Toronto Maple Leafs,1,,Montreal Canadiens,Toronto Maple Leafs,0.0,0.0
2015-10-08,7:00 PM,Winnipeg Jets,6,Boston Bruins,2,,Winnipeg Jets,Boston Bruins,0.0,0.0
2015-10-08,7:00 PM,Ottawa Senators,3,Buffalo Sabres,1,,Ottawa Senators,Buffalo Sabres,0.0,0.0
2015-10-08,9:00 PM,Minnesota Wild,5,Colorado Avalanche,4,,Minnesota Wild,Colorado Avalanche,0.0,0.0
2015-10-08,8:30 PM,Pittsburgh Penguins,0,Dallas Stars,3,,Dallas Stars,Pittsburgh Penguins,0.0,0.0
2015-10-08,8:00 PM,Carolina Hurricanes,1,Nashville Predators,2,,Nashville Predators,Carolina Hurricanes,0.0,0.0
2015-10-08,8:00 PM,Edmonton Oilers,1,St. Louis Blues,3,,St. Louis Blues,Edmonton Oilers,0.0,0.0
2015-10-08,7:30 PM,Philadelphia Flyers,2,Tampa Bay Lightning,3,OT,Tampa Bay Lightning,Philadelphia Flyers,0.0,0.0
2015-10-09,7:00 PM,New York Rangers,4,Columbus Blue Jackets,2,,New York Rangers,Columbus Blue Jackets,0.0,1.0
2015-10-09,7:30 PM,Toronto Maple Leafs,0,Detroit Red Wings,4,,Detroit Red Wings,Toronto Maple Leafs,0.0,0.0
2015-10-09,10:30 PM,Arizona Coyotes,4,Los Angeles Kings,1,,Arizona Coyotes,Los Angeles Kings,0.0,0.0
2015-10-09,7:00 PM,Winnipeg Jets,3,New Jersey Devils,1,,Winnipeg Jets,New Jersey Devils,0.0,1.0
2015-10-09,7:30 PM,Chicago Blackhawks,3,New York Islanders,2,OT,Chicago Blackhawks,New York Islanders,0.0,0.0
2015-10-10,10:00 PM,Pittsburgh Penguins,1,Arizona Coyotes,2,,Arizona Coyotes,Pittsburgh Penguins,1.0,0.0
2015-10-10,7:00 PM,Montreal Canadiens,4,Boston Bruins,2,,Montreal Canadiens,Boston Bruins,0.0,1.0
2015-10-10,1:00 PM,Tampa Bay Lightning,4,Buffalo Sabres,1,,Tampa Bay Lightning,Buffalo Sabres,0.0,1.0
